code,name,high,low,close,change,volume,value,frequency
AALI,Astra Agro Lestari Tbk.,7.475,7.300,7.400,25,423.100,3.115.632.500,681
ABBA,Mahaka Media Tbk.,51,50,51,2,1.518.500,76.466.400,205
ABDA,Asuransi Bina Dana Arta Tbk.,3.290,3.280,3.290,90,400,1.313.000,3
ABMM,ABM Investama Tbk.,2.820,2.750,2.800,10,550.400,1.531.249.000,575
ACES,Aspirasi Hidup Indonesia Tbk.,420,412,414,2,19.759.900,8.198.109.600,3.052
ACST,Acset Indonusa Tbk.,149,134,141,5,34.266.000,4.909.473.300,3.098
ADES,Akasha Wira International Tbk.,15.675,15.300,15.350,300,45.300,698.672.500,67
ADHI,Adhi Karya (Persero) Tbk.,268,250,250,4,55.337.200,14.283.279.800,2.923
ADMF,Adira Dinamika Multi Finance T,8.500,8.425,8.500,100,32.600,276.047.500,48
ADMG,Polychem Indonesia Tbk,218,186,186,32,15.795.500,3.029.002.500,2.587
ADRO,Alamtri Resources Indonesia Tb,1.915,1.885,1.895,5,102.188.900,193.714.873.500,25.953
AGII,Samator Indo Gas Tbk.,1.680,1.600,1.600,5,1.313.500,2.144.981.500,579
AGRO,Bank Raya Indonesia Tbk.,234,226,228,4,26.883.300,6.152.296.400,1.804
AGRS,Bank IBK Indonesia Tbk.,81,77,79,1,22.541.000,1.766.086.100,1.035
AHAP,Asuransi Harta Aman Pratama Tb,94,86,88,3,49.863.100,4.439.288.800,2.151
AIMS,Artha Mahiya Investama Tbk.,398,380,384,4,1.368.600,533.589.200,766
AISA,FKS Food Sejahtera Tbk.,143,140,142,0,7.341.400,1.037.823.100,876
AKKU,Anugerah Kagum Karya Utama Tbk,32,31,32,0,146.700,4.685.800,53
AKPI,Argha Karya Prima Industry Tbk,575,560,560,10,100.100,56.394.500,50
AKRA,AKR Corporindo Tbk.,1.245,1.225,1.240,10,12.689.000,15.669.956.000,3.584
AKSI,Mineral Sumberdaya Mandiri Tbk,498,428,448,4,786.300,356.643.800,567
ALDO,Alkindo Naratama Tbk.,800,770,795,25,275.800,215.127.500,105
ALKA,Alakasa Industrindo Tbk,390,350,364,10,906.200,332.026.000,697
ALMI,Alumindo Light Metal Industry ,0,0,74,0,0,0,0
ALTO,Tri Banyan Tirta Tbk.,0,0,18,0,0,0,0
AMAG,Asuransi Multi Artha Guna Tbk.,386,374,382,0,209.100,79.764.800,66
AMFG,Asahimas Flat Glass Tbk.,3.280,3.210,3.250,40,87.300,284.505.000,67
AMIN,Ateliers Mecaniques D Indonesi,260,244,252,8,266.000,67.260.000,176
AMRT,Sumber Alfaria Trijaya Tbk.,1.980,1.930,1.965,45,37.306.900,73.319.624.500,8.232
ANJT,Austindo Nusantara Jaya Tbk.,1.800,1.745,1.750,25,526.200,925.145.500,368
ANTM,Aneka Tambang Tbk.,3.220,3.110,3.190,120,263.625.800,837.331.573.000,46.664
APEX,Apexindo Pratama Duta Tbk.,238,218,230,4,45.197.000,10.347.145.200,4.741
APIC,Pacific Strategic Financial Tb,1.600,1.480,1.600,75,787.500,1.229.959.000,492
APII,Arita Prima Indonesia Tbk.,218,202,208,2,2.618.300,543.011.200,238
APLI,Asiaplast Industries Tbk.,420,394,410,4,34.000,13.718.400,54
APLN,Agung Podomoro Land Tbk.,104,101,103,0,8.372.700,858.712.100,657
ARGO,Argo Pantes Tbk,1.000,985,995,5,400.100,397.375.000,95
ARII,Atlas Resources Tbk.,322,298,314,6,858.100,262.401.400,283
ARNA,Arwana Citramulia Tbk.,535,530,535,0,1.161.900,619.056.000,239
ARTA,Arthavest Tbk,2.890,2.700,2.820,50,1.700,4.769.000,10
ARTI,Ratu Prabu Energi Tbk,0,0,2,0,0,0,0
ARTO,Bank Jago Tbk.,1.990,1.960,1.965,5,6.824.000,13.473.824.000,4.229
ASBI,Asuransi Bintang Tbk.,468,460,468,0,2.500,1.159.600,15
ASDM,Asuransi Dayin Mitra Tbk.,610,575,580,15,1.389.100,821.592.000,227
ASGR,Astra Graphia Tbk.,1.190,1.160,1.180,5,683.800,803.279.500,327
ASII,Astra International Tbk.,6.600,6.450,6.575,50,30.755.900,201.008.300.000,6.042
ASJT,Asuransi Jasa Tania Tbk.,168,143,145,23,6.184.800,930.305.300,1.062
ASMI,Asuransi Maximus Graha Persada,30,29,30,0,1.190.400,35.640.800,78
ASRI,Alam Sutera Realty Tbk.,166,162,163,1,27.033.800,4.412.697.300,1.279
ASRM,Asuransi Ramayana Tbk.,328,318,320,2,12.800,4.096.200,17
ASSA,Adi Sarana Armada Tbk.,1.210,1.160,1.190,10,12.002.600,14.350.877.500,1.611
ATIC,Anabatic Technologies Tbk.,680,655,665,10,328.200,218.285.000,178
AUTO,Astra Otoparts Tbk.,2.690,2.600,2.600,20,3.851.200,10.197.545.000,1.885
BABP,Bank MNC Internasional Tbk.,55,54,55,0,17.966.700,979.539.600,800
BACA,Bank Capital Indonesia Tbk.,230,175,194,16,158.153.400,32.765.770.600,19.167
BAJA,Saranacentral Bajatama Tbk.,165,160,164,2,935.900,152.298.700,239
BALI,Bali Towerindo Sentra Tbk.,1.820,1.670,1.715,90,119.700,213.593.500,110
BAPA,Bekasi Asri Pemula Tbk.,94,91,91,3,7.517.300,688.873.800,1.020
BATA,Sepatu Bata Tbk.,70,62,70,2,1.047.200,70.165.400,70
BAYU,Bayu Buana Tbk,1.385,1.335,1.385,50,4.076.100,5.474.454.000,290
BBCA,Bank Central Asia Tbk.,8.175,8.025,8.175,125,72.424.200,587.861.680.000,19.774
BBHI,Allo Bank Indonesia Tbk.,1.485,1.440,1.475,0,1.427.600,2.096.449.000,266
BBKP,Bank KB Indonesia Tbk.,77,76,76,0,113.679.900,8.686.604.500,3.513
BBLD,Buana Finance Tbk.,945,915,940,5,14.300,13.289.500,16
BBMD,Bank Mestika Dharma Tbk.,2.100,1.995,1.995,55,300,614.500,3
BBNI,Bank Negara Indonesia (Persero,4.360,4.290,4.330,10,28.113.800,121.511.309.000,13.129
BBRI,Bank Rakyat Indonesia (Persero,3.780,3.750,3.760,10,161.680.300,607.892.824.000,35.594
BBRM,Pelayaran Nasional Bina Buana ,204,168,171,19,96.984.900,17.783.913.900,13.325
BBTN,Bank Tabungan Negara (Persero),1.175,1.145,1.155,15,14.063.500,16.304.384.500,4.378
BBYB,Bank Neo Commerce Tbk.,494,468,472,10,190.159.500,91.215.282.200,25.391
BCAP,MNC Kapital Indonesia Tbk.,57,55,55,2,23.184.600,1.289.414.300,661
BCIC,Bank JTrust Indonesia Tbk.,170,157,160,5,3.221.800,524.038.400,1.053
BCIP,Bumi Citra Permai Tbk.,77,73,75,1,8.143.300,604.817.300,1.129
BDMN,Bank Danamon Indonesia Tbk.,2.490,2.400,2.430,20,2.294.600,5.569.393.000,585
BEKS,Bank Pembangunan Daerah Banten,31,30,31,0,51.739.400,1.602.861.700,621
BEST,Bekasi Fajar Industrial Estate,112,106,109,3,16.278.900,1.780.648.200,1.075
BFIN,BFI Finance  Indonesia Tbk.,710,700,710,10,5.433.400,3.835.338.000,1.289
BGTG,Bank Ganesha Tbk.,120,116,116,1,14.759.300,1.727.027.000,627
BHIT,MNC Asia Holding Tbk.,41,40,40,0,12.278.100,497.124.600,385
BIKA,Binakarya Jaya Abadi Tbk.,0,0,55,0,0,0,0
BIMA,Primarindo Asia Infrastructure,0,0,82,0,0,0,0
BINA,Bank Ina Perdana Tbk.,4.500,4.430,4.490,0,9.100,40.804.000,14
BIPI,Astrindo Nusantara Infrastrukt,88,86,87,0,180.608.400,15.674.513.500,24.543
BIPP,Bhuwanatala Indah Permai Tbk.,51,51,51,1,1.353.000,69.003.000,88
BIRD,Blue Bird Tbk.,1.705,1.685,1.695,15,605.900,1.026.894.500,436
BISI,BISI International Tbk.,870,855,870,10,60.000,51.713.500,98
BJBR,Bank Pembangunan Daerah Jawa B,820,805,805,15,1.832.200,1.484.275.000,865
BJTM,Bank Pembangunan Daerah Jawa T,545,540,540,0,3.972.200,2.151.278.500,894
BKDP,Bukit Darmo Property Tbk,46,42,46,4,4.950.100,214.782.700,1.451
BKSL,Sentul City Tbk.,138,133,134,1,537.721.400,72.674.023.000,29.813
BKSW,Bank QNB Indonesia Tbk.,66,63,64,1,8.932.500,572.625.800,382
BLTA,Berlian Laju Tanker Tbk,38,36,36,2,5.274.600,192.172.600,307
BLTZ,Graha Layar Prima Tbk.,0,0,2.900,0,0,0,0
BMAS,Bank Maspion Indonesia Tbk.,635,630,630,15,4.100,2.601.000,9
BMRI,Bank Mandiri (Persero) Tbk.,5.200,5.025,5.100,75,93.615.600,477.074.335.000,19.424
BMSR,Bintang Mitra Semestaraya Tbk,374,318,318,14,2.049.800,698.899.200,891
BMTR,Global Mediacom Tbk.,140,137,139,0,37.684.700,5.207.568.400,11.872
BNBA,Bank Bumi Arta Tbk.,670,645,645,5,363.100,237.823.000,77
BNBR,Bakrie & Brothers Tbk,0,0,116,0,0,0,0
BNGA,Bank CIMB Niaga Tbk.,1.760,1.740,1.755,0,1.599.100,2.793.338.500,944
BNII,Bank Maybank Indonesia Tbk.,214,208,212,0,2.588.700,545.083.600,509
BNLI,Bank Permata Tbk.,5.300,4.900,5.050,100,289.200,1.488.192.500,501
BOLT,Garuda Metalindo Tbk.,1.010,995,1.010,15,16.900,16.951.000,22
BPFI,Woori Finance Indonesia Tbk.,320,310,320,0,10.800,3.396.400,22
BPII,Batavia Prosperindo Internasio,515,505,515,10,25.400,12.904.500,9
BRAM,Indo Kordsa Tbk.,4.730,4.600,4.680,0,900,4.209.000,5
BRMS,Bumi Resources Minerals Tbk.,1.185,1.150,1.165,35,454.533.400,530.607.920.500,34.488
BRNA,Berlina Tbk.,720,705,720,0,6.600,4.659.000,8
BRPT,Barito Pacific Tbk.,3.520,3.430,3.440,70,42.852.500,147.970.023.000,11.870
BSDE,Bumi Serpong Damai Tbk.,925,905,905,10,9.703.700,8.850.888.000,2.787
BSIM,Bank Sinarmas Tbk.,925,835,875,10,66.800,58.600.000,124
BSSR,Baramulti Suksessarana Tbk.,4.000,3.950,3.960,10,915.900,3.636.787.000,1.288
BSWD,Bank Of India Indonesia Tbk.,835,835,835,15,3.300,2.755.500,2
BTEK,Bumi Teknokultura Unggul Tbk,17,16,17,1,133.202.700,2.240.088.600,1.893
